job_id,trader_id,seeker_id,job_type,skill_required,status,trader_rating,seeker_rating,amount_paid,economic_context,created_at,updated_at
JOB_00000,T_100486,S_501110,On-call,Logistics,Paid,2,1,3088.68,Normal,2026-03-31 21:47:21.234473,2026-04-01 02:47:21.234473
JOB_00001,T_100965,S_503175,One-off,Driving,Paid,1,5,8008.66,Rainy_Day,2026-05-07 21:47:21.237389,2026-05-08 18:47:21.237389
JOB_00002,T_100807,S_502269,Full-time,Packaging,Paid,1,4,8120.83,Normal,2026-04-08 21:47:21.239524,2026-04-09 08:47:21.239524
JOB_00003,T_100340,S_504967,Part-time,Stock Counting,Paid,5,3,11909.41,Rainy_Day,2026-03-22 21:47:21.241625,2026-03-23 10:47:21.241625
JOB_00004,T_100526,S_500429,Full-time,Stock Counting,Paid,1,4,10015.61,Rainy_Day,2026-05-06 21:47:21.243736,2026-05-07 19:47:21.243736
JOB_00005,T_100782,S_500581,Full-time,Heavy Lifting,Paid,1,2,8228.78,Normal,2026-03-16 21:47:21.245842,2026-03-17 18:47:21.245842
JOB_00006,T_100209,S_501338,Part-time,Packaging,Paid,1,1,5588.46,Normal,2026-02-18 21:47:21.248083,2026-02-19 14:47:21.248083
JOB_00007,T_100501,S_502389,One-off,Driving,Paid,3,3,10982.99,Normal,2026-03-27 21:47:21.250175,2026-03-28 08:47:21.250175
JOB_00008,T_100737,S_504084,Part-time,Stock Counting,Paid,5,1,5125.95,Normal,2026-05-08 21:47:21.252613,2026-05-09 09:47:21.252613
JOB_00009,T_100675,S_500896,Part-time,Stock Counting,Paid,1,5,6761.53,Normal,2026-02-28 21:47:21.255031,2026-03-01 18:47:21.255031
JOB_00010,T_100427,S_500910,One-off,Packaging,Paid,1,5,10630.47,Normal,2026-04-14 21:47:21.257133,2026-04-15 12:47:21.257133
JOB_00011,T_100327,S_502560,On-call,Driving,Paid,5,3,9305.29,Normal,2026-02-28 21:47:21.259222,2026-03-01 03:47:21.259222
JOB_00012,T_100741,S_501816,Full-time,Driving,Paid,3,4,7870.95,Fuel_Scarcity,2026-05-05 21:47:21.261013,2026-05-06 18:47:21.261013
JOB_00013,T_100466,S_500576,One-off,Heavy Lifting,Paid,3,4,2781.2,Fuel_Scarcity,2026-03-08 21:47:21.264604,2026-03-09 21:47:21.264604
JOB_00014,T_100925,S_501148,On-call,Heavy Lifting,Paid,1,3,4717.96,Normal,2026-04-13 21:47:21.266772,2026-04-14 08:47:21.266772
JOB_00015,T_100153,S_502841,On-call,Sales,Paid,3,3,7144.96,Fuel_Scarcity,2026-04-29 21:47:21.269351,2026-04-30 03:47:21.269351
JOB_00016,T_100638,S_501874,One-off,Sales,Paid,4,1,5028.55,Normal,2026-02-17 21:47:21.271810,2026-02-18 10:47:21.271810
JOB_00017,T_100672,S_503283,Part-time,Heavy Lifting,Paid,5,5,7324.03,Rainy_Day,2026-05-09 21:47:21.273936,2026-05-10 02:47:21.273936
JOB_00018,T_100195,S_504087,One-off,Stock Counting,Paid,1,4,8916.57,Fuel_Scarcity,2026-05-09 21:47:21.276029,2026-05-10 05:47:21.276029
JOB_00019,T_100107,S_501196,On-call,Heavy Lifting,Paid,2,4,8409.84,Fuel_Scarcity,2026-05-11 21:47:21.278359,2026-05-12 16:47:21.278359
